Gia_tri,So_luong
"['lập kế hoạch dự án', 'quản lý rủi ro', 'quản lý thời gian', 'quản lý ngân sách', 'giao tiếp']",3
"['api testing', 'test automation frameworks (selenium, cypress, appium, etc.)', 'programming languages (java, python, c#, javascript, etc.)', 'test case design and execution', 'defect reporting and tracking']",3
"['3d max', '3d modeling', 'texturing', 'lighting', 'rendering', 'uv mapping', '3d artist', 'photoshop', 'ai', 'concept art', 'animation 3d (blender, cinema 4d)', 'modeling 3d (blender)', 'affter effects']",3
"['quản trị mạng', 'khắc phục sự cố mạng', 'an ninh mạng cơ bản', 'cấu hình thiết bị mạng (router, switch, firewall)', 'kiến thức về các giao thức mạng (tcp ip, bgp, ospf)']",3
"['quản lý sản phẩm', 'phân tích yêu cầu', 'viết user story', 'xây dựng roadmap sản phẩm', 'ưu tiên hóa các tính năng']",3
"['làm việc nhóm', 'quản lý thời gian', 'tin học văn phòng', 'giao tiếp', 'soạn thảo văn bản', 'kỹ năng đàm phán']",3
"['sql', 'python hoặc java', 'data warehousing', 'big data (hadoop, spark, hive)', 'etl (extract, transform, load)']",3
"['phân tích yêu cầu', 'kiểm thử phần mềm', 'viết testcase', 'báo cáo lỗi', 'xác định lỗi']",3
"['khả năng làm việc độc lập và nhóm', 'khả năng sáng tạo và tư duy hình ảnh', 'sử dụng thành thạo phần mềm thiết kế đồ họa (photoshop, illustrator, indesign)', 'khả năng giao tiếp và trình bày ý tưởng', 'hiểu biết về nguyên tắc thiết kế (màu sắc, bố cục, typography)']",3
"['phân tích yêu cầu', 'viết testcase', 'thực hiện test case', 'báo cáo lỗi', 'kiểm tra chất lượng phần mềm']",3
"['khả năng làm việc độc lập và nhóm', 'sử dụng thành thạo phần mềm thiết kế đồ họa (photoshop, illustrator, indesign,...)', 'khả năng sáng tạo và tư duy hình ảnh tốt', 'hiểu biết về nguyên tắc thiết kế, bố cục, màu sắc, typography', 'khả năng giao tiếp và trình bày ý tưởng tốt']",3
"['thiết kế đồ họa', 'adobe creative suite (photoshop, illustrator, indesign)', 'tư duy sáng tạo', 'kỹ năng giao tiếp', 'quản lý dự án']",3
"['illustrator', 'photoshop', 'graphic design', 'adobe illustrator', 'figma', 'adobe', 'graphic designer']",3
"['c++', 'go']",3
"['sql', 'ai', 'nlp', 'computer vision', 'data scientist', 'machine learning', 'data science', 'trực quan hóa dữ liệu', 'llm', 'genai', 'trí tuệ nhân tạo', 'lập trình python hoặc r', 'học máy (machine learning)', 'xây dựng mô hình dự đoán']",3
"['java', 'project management', 'system design', 'agile methodologies', 'software architecture', 'microservices architecture', 'database technologies (sql, nosql)', 'devops practices', 'cloud technologies (aws, azure, gcp)']",3
"['autosar', 'embedded systems', 'c/c++', 'microcontrollers (e.g., arm, infineon)', 'software development lifecycle (sdlc)']",3
"['thiết kế giao diện người dùng (ui)', 'thiết kế trải nghiệm người dùng (ux)', 'nghiên cứu người dùng', 'xây dựng wireframe và prototype', 'kiến thức về design system']",3
"['kỹ năng giao tiếp', 'kỹ năng bán hàng', 'kỹ năng làm việc nhóm', 'kỹ năng chăm sóc khách hàng', 'kỹ năng xử lý tình huống']",3
"['kiểm tra chất lượng sản phẩm', 'đọc hiểu bản vẽ kỹ thuật', 'vận hành máy tiện cnc', 'vận hành máy phay cnc', 'lập trình cnc cơ bản (g code)', 'sử dụng thành thạo các phần mềm thiết kế (autocad, solidworks,...)', 'lập trình cnc nâng cao (cad cam)']",3
"['sáng tạo', 'tư duy thẩm mỹ', 'sử dụng thành thạo phần mềm thiết kế (photoshop, illustrator, indesign, autocad, sketch,...)', 'kỹ năng vẽ tay (tùy chuyên môn)', 'hiểu biết về bố cục, màu sắc, typography']",3
"['phân tích nghiệp vụ', 'thu thập yêu cầu', 'mô hình hóa quy trình', 'phân tích dữ liệu', 'giao tiếp']",3
"['thiết kế đồ họa', 'vẽ tay vẽ kỹ thuật số', 'kiến thức về màu sắc, bố cục, ánh sáng', 'sử dụng thành thạo phần mềm thiết kế (photoshop, illustrator, etc.)', 'kỹ năng tạo hình 2d 3d']",3
"['giao tiếp', 'quản lý dự án', 'thiết kế hệ thống', 'phân tích yêu cầu', 'kiến trúc giải pháp']",3
"['kỹ năng bán hàng', 'kỹ năng giao tiếp', 'kỹ năng thuyết trình', 'kỹ năng đàm phán', 'kỹ năng xây dựng mối quan hệ']",3
"['middleware architecture', 'adas (advanced driver assistance systems)', 'software design', 'c c++ programming', 'real time operating systems (rtos)']",3
"['adobe photoshop', 'adobe illustrator', 'adobe indesign', 'thiết kế đồ họa', 'kiến thức về màu sắc']",3
"['quản lý thời gian', 'quản lý dự án', 'quản lý ngân sách', 'quản lý rủi ro', 'lập kế hoạch dự án']",3
"['linux', 'windows server', 'mạng máy tính', 'ảo hóa (vmware, hyper v)', 'bảo mật hệ thống']",3
"['thiết kế đồ họa', 'khả năng làm việc độc lập và nhóm', 'khả năng sáng tạo và tư duy hình ảnh', 'hiểu biết về nguyên tắc thiết kế (màu sắc, bố cục, typography)', 'sử dụng thành thạo phần mềm đồ họa (photoshop, illustrator, indesign)']",3
"['phân tích yêu cầu', 'kiểm thử phần mềm', 'thực hiện test case', 'báo cáo lỗi', 'thiết kế test case']",3
"['kiến thức về kiểm thử phần mềm', 'kỹ năng viết test case', 'kỹ năng thực hiện test case', 'kỹ năng báo cáo lỗi', 'kỹ năng phân tích yêu cầu']",3
"['thiết kế đồ họa', 'adobe creative suite (photoshop, illustrator, indesign)', 'kiến thức về màu sắc và typography', 'kỹ năng giao tiếp và trình bày ý tưởng', 'quản lý thời gian và làm việc nhóm']",3
"['python', 'java', 'go']",3
"['kỹ năng phân tích yêu cầu', 'kiến thức về kiểm thử phần mềm', 'kỹ năng viết test case', 'kỹ năng báo cáo lỗi', 'kỹ năng thực hiện test']",3
"[""python"", ""aws""]",3
"[""tester"", ""automation"", ""test"", ""scrum"", ""team"", ""management"", ""agile""]",3
"[""embedded"", ""language"", ""c++""]",3
"['adobe photoshop', 'adobe illustrator', 'tư duy sáng tạo', 'kỹ năng thiết kế', 'typography']",3
"['sáng tạo', 'khả năng làm việc độc lập và theo nhóm', 'thiết kế đồ họa 2d', 'tư duy thẩm mỹ', 'sử dụng thành thạo các phần mềm thiết kế (adobe photoshop, adobe illustrator)']",3
"['javascript', 'html/css', 'restful apis', 'node.js/python/java', 'reactjs/angular/vuejs']",3
"['.net', 'git', 'mongodb', 'oop', 'redis', 'kafka', 'rabbitmq', 'asp.net mvc', 'microservices', 'cloud platforms (aws, azure, gcp)', 'asp.net mvc web api', 'asp.net mvc hoặc asp.net core', '.net (c#, asp.net mvc, asp.net core)', 'frontend frameworks (react, angular, vue.js)']",3
"['microsoft office', 'tư vấn', 'chăm sóc khách hàng', 'kỹ năng giao tiếp', 'làm việc nhóm', 'kỹ năng đàm phán', 'kĩ năng phân tích tổng hợp']",3
"['quản trị mạng', 'quản trị hệ thống', 'khắc phục sự cố phần cứng', 'khắc phục sự cố phần mềm', 'sao lưu và phục hồi dữ liệu']",3
"['c#', 'sql']",3
"[""database oracle"", ""web application testing"", ""business analysis"", ""business process"", ""sql""]",3
"['kiến thức về bảo mật thông tin (information security)', 'kiến thức về hệ thống mạng (networking)', 'phân tích rủi ro (risk analysis)', 'quản lý sự cố bảo mật (security incident management)', 'kiến thức về các hệ điều hành (operating systems)', 'kỹ năng giao tiếp tốt', 'ngôn ngữ tiếng anh', 'kiến thức về an ninh đám mây (cloud security)', 'kiến thức về phân tích dữ liệu bảo mật (security data analysis)', 'kiến thức về các hệ thống quản lý bảo mật (security information and event management siem)']",2
"['kỹ năng sáng tạo', 'kỹ năng biên tập video', 'kỹ năng dựng phim', 'kỹ năng quay phim', 'sử dụng thành thạo các phần mềm dựng phim (adobe premiere, after effects, final cut pro)']",2
"['quản lý điều hành', 'lãnh đạo', 'giải quyết vấn đề', 'tư duy chiến lược', 'ra quyết định']",2
"['tư vấn', 'giao tiếp', 'chăm sóc khách hàng', 'bán hàng', 'thuyết phục']",2
"['làm việc nhóm', 'quản lý thời gian', 'phân tích vấn đề', 'giải quyết vấn đề', 'kỹ năng tổ chức', 'giao tiếp hiệu quả', 'cam kết với công việc', 'soạn thảo báo cáo', 'quản lý rủi ro cơ bản', 'kỹ năng đàm phán', 'kỹ năng lập kế hoạch', 'ngoại ngữ (tiếng anh)', 'thành thạo microsoft office (word, excel, powerpoint)', 'kỹ năng giám sát tiến độ']",2
"['báo cáo lỗi', 'thực hiện test', 'thiết kế test case', 'phân tích kết quả test', 'hiểu biết về các phương pháp test (agile, waterfall, ...)']",2
"['khả năng làm việc độc lập và nhóm', 'kiến thức về nguyên tắc thiết kế (màu sắc, bố cục, typography)', 'khả năng sáng tạo và tư duy hình ảnh', 'sử dụng thành thạo phần mềm thiết kế đồ họa (photoshop, illustrator, indesign)', 'khả năng giao tiếp và trình bày ý tưởng']",2
"['làm việc nhóm', 'giải quyết vấn đề', 'kiến thức về mạng máy tính', 'kiến thức về hệ điều hành (windows, linux, macos)', 'lập trình (ít nhất 1 ngôn ngữ)']",2
"['thiết kế ux', 'thiết kế ui', 'nghiên cứu người dùng', 'wireframing', 'prototyping']",2
"['quản lý thời gian', 'xây dựng mối quan hệ', 'đàm phán', 'nghiên cứu thị trường', 'giải quyết vấn đề', 'thuyết phục', 'kiến thức về sản phẩm dịch vụ it', 'chăm sóc khách hàng', 'kỹ năng thuyết trình', 'phân tích dữ liệu bán hàng', 'tiếng anh (giao tiếp)']",2
"['khả năng làm việc độc lập và theo nhóm', 'kỹ năng vẽ 2d xuất sắc', 'hiểu biết về nguyên tắc thiết kế (composition, color theory, perspective)', 'khả năng tạo ra các tác phẩm nghệ thuật chất lượng cao', 'thành thạo phần mềm đồ họa (photoshop, illustrator, clip studio paint, krita, v.v.)', 'game artist', 'kinh nghiệm làm việc với engine game (unity, unreal engine)', 'kỹ năng hoạt hình 2d (animation)']",2
"['kiến thức về hệ thống và mạng', 'kỹ năng triển khai và cấu hình', 'khả năng giải quyết vấn đề', 'kỹ năng làm việc nhóm', 'kỹ năng giao tiếp']",2
"['adobe photoshop', 'adobe illustrator', 'tư duy sáng tạo', 'kỹ năng thiết kế']",2
"['làm việc nhóm', 'phân tích yêu cầu', 'giao tiếp hiệu quả', 'quản lý backlog', 'ưu tiên nhiệm vụ', 'ecommerce', 'product lifecycle management']",2
"['pbr workflow', 'uv unwrapping', 'game engine knowledge (unity, unreal engine)']",2
"['figma', 'ui/ux', 'quản lý dự án', 'quản lý sản phẩm', 'phân tích yêu cầu', 'quản lý tiến độ', 'quản lý rủi ro', 'xây dựng kế hoạch sản phẩm', 'visio', 'kỹ năng phân tích yêu cầu', 'gamification']",2
"['kiến thức về kiểm thử phần mềm', 'kinh nghiệm viết test case, test plan', 'kinh nghiệm sử dụng các công cụ automation testing (selenium, appium, cypress,...)', 'kinh nghiệm lập trình (java, python, c#,...)', 'kinh nghiệm làm việc với ci cd']",2
"['git', 'restful apis', 'spring framework (spring boot, spring mvc, spring data)', 'databases (sql, nosql)', 'java (core java, multithreading, collections)']",2
"['khả năng sáng tạo và tư duy hình ảnh', 'hiểu biết về màu sắc và bố cục', 'khả năng thiết kế đồ họa', 'sử dụng thành thạo phần mềm adobe photoshop', 'sử dụng thành thạo phần mềm adobe illustrator']",2
"['problem-solving', 'agile development methodologies', 'technical leadership', 'software architecture', 'mobile development (ios, android, or cross platform)']",2
"['html5', 'java', 'sql', 'aws', 'css3', 'golang', 'jira', 'restful apis', 'cloud platforms (aws, azure, gcp)', 'microservices architecture', 'containerization (docker, kubernetes)', 'security best practices']",2
"['khắc phục sự cố máy tính', 'hỗ trợ người dùng', 'kiến thức về phần cứng máy tính', 'kiến thức về mạng máy tính', 'kiến thức về hệ điều hành windows và macos']",2
"['kỹ năng đàm phán và thương lượng', 'kỹ năng giao tiếp và thuyết trình xuất sắc', 'khả năng phân tích nhu cầu khách hàng', 'hiểu biết sâu rộng về công nghệ thông tin', 'xây dựng giải pháp và đề xuất phù hợp']",2
"['api restful', 'kiến trúc phần mềm', 'cơ sở dữ liệu (sql, nosql)', 'kiểm thử phần mềm (unit testing, integration testing)', 'ngôn ngữ lập trình (java, python, node.js, php, ruby, go, v.v.)']",2
"['coreldraw', 'adobe illustrator', 'thiết kế đồ họa', 'adobe creative suite', 'design', 'adobe creative suite']",2
"['javascript', 'html/css', 'database management (sql, nosql)', 'frontend framework (react, angular, vue.js)', 'backend framework (node.js, python django, ruby on rails, java spring)']",2
"['làm việc nhóm', 'quản lý thời gian', 'kiểm thử phần mềm', 'khắc phục sự cố', 'viết code', 'testing', 'lập trình ứng dụng', 'lập trình java hoặc .net']",2
"['git', 'dart', 'rest apis', 'flutter framework', 'state management (provider, bloc, riverpod, etc.)']",2
"['langchain', 'kiến thức sâu rộng về các mô hình ngôn ngữ lớn (llms)', 'hiểu biết về kiến trúc và hoạt động của llms', 'ai agent', 'kinh nghiệm làm việc với các agent ai thế hệ mới (genai)', 'kỹ năng lập trình (python, ít nhất)', 'kỹ năng thiết kế và triển khai hệ thống ai']",2
"['adobe photoshop', 'adobe illustrator', 'typography', 'color theory', 'sketching/drawing']",2
"['giao tiếp', 'làm việc nhóm', 'quản lý thời gian', 'giải quyết vấn đề', 'lập kế hoạch']",2
"['crm', 'sap', 'phân tích dữ liệu', 'kiến thức về luật lao động', 'phần mềm quản lý nhân sự (hrm)', 'quản lý dữ liệu nhân sự', 'quản lý hệ thống thông tin', 'ats']",2
"['game balance', 'thiết kế game', 'level design', 'game mechanics', 'lập trình game (ít nhất 1 ngôn ngữ)']",2
"['javascript', 'html/css', 'backend framework (node.js, python django, ruby on rails, java spring)', 'frontend framework (react, angular, vue.js)', 'database management (sql, nosql)']",2
"['quản lý hệ thống', 'hỗ trợ kỹ thuật', 'khắc phục sự cố', 'quản lý dự án', 'giao tiếp', 'lan/wan', 'network troubleshooting', 'network security (firewalls, vpns)', 'network administration', 'khắc phục sự cố mạng wifi', 'bảo mật hệ thống', 'quản lý danh tính và truy cập (iam)', 'quản lý thiết bị di động (mdm)', 'itsm']",2
"['javascript', 'mongodb', 'mysql', 'nodejs', 'redis', 'redux', 'reactjs', 'nestjs', 'reactjs, nodejs']",2
"['xây dựng mối quan hệ', 'giải quyết vấn đề', 'giao tiếp hiệu quả', 'kỹ năng lắng nghe tích cực', 'kiến thức sản phẩm dịch vụ', 'kỹ năng bán hàng', 'kỹ năng thuyết trình', 'sử dụng thành thạo máy tính']",2
"['thiết kế cơ sở dữ liệu (sql, nosql)', 'cấu trúc dữ liệu và giải thuật', 'api design & development (rest, graphql)', 'lập trình (python, java, node.js, go, c#, ...)', 'kiến trúc phần mềm (microservices, monolithic)', '.net', 'asp.net', 'c#', 'java', 'spring', 'spring framework', 'spring boot', 'core java', 'spring mvc', 'code java', 'java core', 'springboot', 'java 8', 'java ee', 'java spring', 'java spring boot', 'java springboot', 'be java']",2
"['c#', '.net framework .net core', 'lập trình hướng đối tượng (oop)', 'kiến thức cơ bản về cấu trúc dữ liệu và giải thuật', 'hiểu biết về mô hình mvc', '.net', 'apriso process builder', 'javascript']",2
"['xây dựng mối quan hệ', 'phân tích thị trường', 'thương lượng', 'phát triển kinh doanh', 'lập kế hoạch kinh doanh', 'marketing kỹ thuật số', 'kiến thức về ngành', 'ngôn ngữ nước ngoài (tiếng anh,...)']",2
"['sales', 'networking', 'communication', 'negotiation', 'market research']",2
"['javascript', 'reactjs', 'html', 'css', 'restful apis']",2
"['kiến thức về kiểm thử game', 'kỹ năng lãnh đạo nhóm', 'kỹ năng giao tiếp', 'kỹ năng giải quyết vấn đề', 'kỹ năng phân tích']",2
"['khả năng làm việc độc lập và nhóm', 'sử dụng thành thạo phần mềm thiết kế đồ họa (photoshop, illustrator, indesign,...)', 'khả năng sáng tạo và tư duy hình ảnh tốt', 'khả năng giao tiếp và trình bày ý tưởng', 'hiểu biết về nguyên tắc thiết kế (màu sắc, bố cục, typography)']",2
"['product backlog management', 'stakeholder management', 'prioritization', 'communication', 'agile methodologies']",2
"['game balance', 'thiết kế game', 'level design', 'game mechanics', 'kiến thức về game engine (unity, unreal engine, v.v.)']",2
"['tư duy sáng tạo', 'khả năng giải quyết vấn đề', 'hiểu biết về bố cục, màu sắc, typography', 'kỹ năng vẽ tay (tùy chuyên môn)', 'kỹ năng sử dụng phần mềm thiết kế (photoshop, illustrator, indesign, figma,...)']",2
"['linux', 'cloud computing (aws, azure, gcp)', 'ci/cd', 'automation', 'scripting (python, bash)']",2
"['sales', 'business development', 'lead generation', 'negotiation', 'communication']",2
"['kiến thức về hệ điều hành', 'kiến thức về mạng máy tính', 'kỹ năng cài đặt và cấu hình phần mềm', 'kỹ năng giải quyết vấn đề', 'kỹ năng làm việc nhóm', 'kinh nghiệm làm việc với các công cụ triển khai (ví dụ: docker, kubernetes)', 'kỹ năng kiểm thử phần mềm', 'khả năng tự học và nghiên cứu', 'kỹ năng phân tích yêu cầu']",2
"['lập trình (python, java, go, node.js, v.v.)', 'cấu trúc dữ liệu và giải thuật', 'thiết kế cơ sở dữ liệu (sql, nosql)', 'api design (restful, graphql)', 'kiểm soát phiên bản (git)']",2
"['kỹ năng giao tiếp', 'kỹ năng đàm phán', 'kỹ năng thuyết phục', 'kỹ năng quản lý thời gian', 'kỹ năng lập kế hoạch', 'kỹ năng báo cáo', 'kỹ năng xây dựng mối quan hệ', 'kỹ năng thương lượng', 'kỹ năng thuyết trình', 'am hiểu thị trường', 'kỹ năng sử dụng các công cụ marketing online']",2
"['spring framework (spring boot, spring mvc, spring data)', 'java (core java, multithreading, collections)', 'sql and relational databases (e.g., mysql, postgresql, oracle)', 'restful apis and microservices', 'git and version control']",2
"['after effects', 'animation', 'thiết kế đồ họa', 'kể chuyện bằng hình ảnh', 'sáng tạo']",2
"['quản lý thời gian', 'đàm phán', 'giao tiếp', 'quản lý ngân sách', 'giải quyết vấn đề', 'quản lý rủi ro', 'lập kế hoạch dự án']",2
"['phân tích rủi ro bảo mật', 'quản lý sự cố bảo mật', 'kiểm tra thâm nhập (penetration testing)', 'thiết kế và triển khai hệ thống bảo mật', 'kiến thức về bảo mật hệ thống thông tin']",2
"['sql và cơ sở dữ liệu quan hệ (mysql, postgresql, oracle)', 'spring framework (spring boot, spring mvc, spring data)', 'java core (oop, collections, multithreading)', 'git và quản lý phiên bản', 'kiểm thử phần mềm (junit, mockito)']",2
"['wordpress', 'php', 'html', 'css', 'javascript']",2
