job_id,title,job_field,company,salary_max,salary_min,salary_negotiable,location_city,posted_date,skills,industry,job_level,source
tcv_2048,Kinh doanh phần mềm,Sales,Công ty cổ phần Công nghệ Haravan,50000000.0,8000000.0,0.0,Hà Nội,30/09/2025,"['Kỹ năng giải quyết vấn đề', 'Khả Năng Phân Tích Nhu Cầu Khách Hàng', 'Hiểu Biết Về Chu Trình Bán Hàng', 'Cam Kết Với Công Việc Và Trách Nhiệm']","['Chuyên môn Kinh doanh phần mềm', 'Telesales', 'Direct Sales', 'B2B', 'B2C', 'Thương mại điện tử', 'Nghỉ thứ 7', 'Giọng miền Bắc', 'Giọng miền Trung', 'Giọng miền Nam', 'Phát âm chuẩn', 'Diễn đạt trôi chảy', 'Tuổi 20 - 30']",Intern,TopCV
tcv_2049,Thiết kế đồ họa (Graphic Design),Design,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ DU LỊCH CHÂU ÂU,15000000.0,12000000.0,0.0,Hồ Chí Minh,05/09/2025,[],"['Chuyên môn Thiết kế đồ họa (Graphic Design)', 'Tuổi 25 - 30']",Junior,TopCV
tcv_2050,Bán hàng kỹ thuật IT,Other,CÔNG TY CỔ PHẦN THƯƠNG MẠI - DỊCH VỤ PHONG VŨ,12000000.0,8000000.0,0.0,Hà Nội,30/09/2025,"['Kỹ năng giao tiếp', 'Kỹ năng bán hàng', 'Kỹ năng làm việc nhóm', 'kỹ năng chăm sóc khách hàng', 'Kỹ năng xử lý tình huống']","['Chuyên môn Bán hàng kỹ thuật IT', 'Bán hàng tại cửa hàng/showroom', 'B2C', 'Tuổi 20 - 30']",Intern,TopCV
tcv_2051,Kỹ sư hệ thống,Other,CÔNG TY CỔ PHẦN GIẢI PHÁP CÔNG NGHỆ SMARTECH VIỆT NAM,15000000.0,10000000.0,0.0,Hà Nội,30/09/2025,"['Làm việc nhóm', 'Giải quyết vấn đề', 'Kiến Thức Về Mạng Máy Tính', 'Kiến Thức Về Hệ Điều Hành (windows, Linux, Macos)', 'Lập Trình (ít Nhất 1 Ngôn Ngữ)']","['Chuyên môn Kỹ sư hệ thống', 'IT - Phần mềm']",Junior,TopCV
tcv_2052,System Engineer,Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG AWING VIỆT NAM,26000000.0,26000000.0,0.0,Hà Nội,05/09/2025,"['Hệ Điều Hành Linux (centos, Rhel, Ubuntu)', 'Mạng Máy Tính (tcp Ip, Routing, Switching, Firewalls)', 'Quản Trị Hệ Thống Linux (tính Khả Dụng Cao, Giám Sát, Bảo Mật)', 'Tự Động Hóa (ansible, Puppet, Chef, Saltstack)', 'Kiến Thức Về Container (docker, Kubernetes)', 'Quản Lý Dự Án', 'Cloud Computing (aws, Azure, Gcp)', 'An Ninh Mạng (cybersecurity)', 'Kiến Thức Về Bảo Mật Mạng (ids Ips, Siem)']","['Chuyên môn System Engineer', 'Điện toán đám mây (Cloud)', 'IT - Phần mềm', 'Tuổi 23 - 35']",Junior,TopCV
tcv_2053,Data Analyst,Data,Công ty Cổ phần Đầu Tư Liên Doanh Việt Anh,25000000.0,15000000.0,0.0,Hà Nội,29/08/2025,"['SQL', 'Phân tích dữ liệu', 'thống kê', 'Trực quan hóa dữ liệu', 'Python Hoặc R']","['Chuyên môn Data Analyst', 'Nghỉ thứ 7']",Junior,TopCV
tcv_2054,Embedded Engineer/Lập trình nhúng,Developer,CÔNG TY TNHH WORLDING VIỆT NAM,50000000.0,15000000.0,0.0,Nước Ngoài,22/09/2025,"['Ngôn Ngữ Lập Trình Nhúng (c, C++, Assembly)', 'Thiết Kế Mạch Điện Tử Cơ Bản', 'Hệ Điều Hành Thời Gian Thực (rtos)', 'Kiến Trúc Vi Điều Khiển Vi Xử Lý', 'Debug Và Test Phần Cứng Phần Mềm']","['Chuyên môn Embedded Engineer/Lập trình nhúng', 'IT - Phần cứng và máy tính', 'Nghỉ thứ 7']",Junior,TopCV
tcv_2055,Software Engineer,Developer,CÔNG TY CỔ PHẦN PARALINE SOFTWARE,25000000.0,18000000.0,0.0,Hà Nội,17/09/2025,"['C#', 'Object Oriented Programming (oop)', '.net Framework Core', 'Asp.net (mvc Web Api)', 'Sql Server Entity Framework']","['Chuyên môn Software Engineer', 'Nghỉ thứ 7']",Junior,TopCV
tcv_2056,DevOps Engineer,Developer,CÔNG TY TNHH ZINZA TECHNOLOGY,6000000.0,2000000.0,0.0,Hà Nội,31/08/2025,"['Kiến Thức Về Mạng Máy Tính', 'Kiến Thức Cơ Bản Về Linux', 'Kiến Thức Về Quản Lý Cấu Hình (configuration Management)', 'Kiến Thức Về Containerization (docker, Kubernetes)', 'Kiến Thức Về Hệ Thống Ảo Hóa (virtualization)', 'Devops']","['Chuyên môn DevOps Engineer', 'IT - Phần mềm', 'IT - Phần cứng và máy tính', 'Nghỉ thứ 7']",Intern,TopCV
tcv_2057,Thiết kế đồ họa (Graphic Design),Design,CÔNG TY BẤT ĐỘNG SẢN TẬP ĐOÀN TÂN Á ĐẠI THÀNH,20000000.0,18000000.0,0.0,Hà Nội,04/09/2025,"['Thiết kế đồ họa', 'Sử Dụng Phần Mềm Thiết Kế (autocad, Sketchup, 3ds Max, Adobe Creative Suite)', 'Thiết Kế 2d, 3d', 'Mỹ Thuật', 'Sáng tạo']",['Chuyên môn Thiết kế đồ họa (Graphic Design)'],Junior,TopCV
