job_id,title,job_domain,company_name,company_url,city,work_mode,employment_type,salary_min,salary_max,is_negotiable,benefits,skills_raw,skills_standardized,experience_min_years,experience_max_years,experience_level,posted_date,deadline_date,source,industry
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
21,software engineer,Software,Công Ty Cổ Phần Công Nghệ Sen Đỏ,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-cong-nghe-sen-do.35A75340.html,Hồ Chí Minh,,Full-time,35000000,47000000,0,[],"['sql', 'go', 'react']","['sql', 'go', 'react']",3,5,Middle,18/08/2025,16/09/2025,CareViet,['IT/Software']
22,project manager,BA/PM/PO,OMN1 Solution,https://careerviet.vn/vi/nha-tuyen-dung/omn1-solution.35A85CD3.html,Hồ Chí Minh,,Full-time,0,0,1,['Đào tạo'],[],[],3,5,Middle,2025-11-08 00:00:00,2025-11-09 00:00:00,CareViet,['Other']
23,product ứng dụng saas,Other,CÔNG TY TNHH DREAM TALENT,https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-dream-talent.35A813FB.html,Hồ Chí Minh,Hybrid,Full-time,20000000,65000000,0,['Đào tạo'],[],[],3,7,Middle,17/08/2025,15/09/2025,CareViet,['Other']
24,vận hành tính toán thông minh ai,Other,Xuân Cầu Holdings,https://careerviet.vn/vi/nha-tuyen-dung/xuan-cau-holdings.35A80ACC.html,Hà Nội,,Full-time,20000000,35000000,0,[],[],[],1,5,Junior,17/08/2025,15/09/2025,CareViet,['Other']
25,software developer chuyên frontend,Frontend,BỆNH VIỆN ĐA KHOA PHƯƠNG ĐÔNG,https://careerviet.vn/vi/nha-tuyen-dung/benh-vien-da-khoa-phuong-dong.35A8D9F6.html,Hà Nội,,Full-time,15000000,25000000,0,[],[],[],3,5,Middle,17/08/2025,15/09/2025,CareViet,['IT/Software']
,,,,,,,,,,,,,,,,,,,CareViet,['Other']
27,business analyst,BA/PM/PO,BỆNH VIỆN ĐA KHOA PHƯƠNG ĐÔNG,https://careerviet.vn/vi/nha-tuyen-dung/benh-vien-da-khoa-phuong-dong.35A8D9F6.html,Hà Nội,,Full-time,10000000,25000000,0,[],[],[],2,3,Middle,17/08/2025,15/09/2025,CareViet,['Consulting']
28,accounting analysis and reporting 1 year contract,Other,Công Ty TNHH Meggitt (Việt Nam),https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-meggitt-viet-nam.35A5C709.html,Đồng Nai,,Full-time,0,0,1,[],[],[],0,0,Intern,16/08/2025,14/09/2025,CareViet,['Other']
29,ios developer,Mobile,Công Ty Cổ Phần Giải Pháp Thanh Toán Việt Nam (VNPAY),https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-giai-phap-thanh-toan-viet-nam-vnpay.35A794AD.html,Hồ Chí Minh,,Full-time,0,0,1,['Du lịch'],[],[],1,2,Junior,16/08/2025,14/09/2025,CareViet,['IT/Software']
