Gia_tri,So_luong
0.0,2475
20000000.0,219
15000000.0,217
25000000.0,172
30000000.0,166
12000000.0,118
40000000.0,103
35000000.0,94
18000000.0,72
52780000.0,51
10000000.0,50
50000000.0,47
39585000.0,46
14000000.0,36
65975000.0,35
17000000.0,34
45000000.0,32
16000000.0,32
79170000.0,30
13000000.0,29
26390000.0,28
22000000.0,26
60000000.0,23
11000000.0,23
3000000.0,22
9000000.0,20
4000000.0,19
41666666.66666666,19
31668000.0,18
6000000.0,18
70000000.0,17
105560000.0,17
47502000.0,17
92365000.0,16
26000000.0,15
24000000.0,14
8000000.0,14
55000000.0,12
65000000.0,12
28000000.0,12
39000000.0,12
2000000.0,11
52000000.0,11
32000000.0,11
42224000.0,10
58058000.0,9
131950000.0,8
5000000.0,7
7000000.0,7
78000000.0,7
80000000.0,7
44863000.0,6
58333333.333333336,6
21112000.0,6
23000000.0,6
120954166.66666669,6
118755000.0,6
34307000.0,5
34000000.0,5
1000000.0,5
15834000.0,5
31200000.0,4
23751000.0,4
37000000.0,4
84448000.0,4
73892000.0,4
33000000.0,4
21000000.0,4
27000000.0,4
36946000.0,4
62016500.0,3
13500000.0,3
31000000.0,3
57200000.0,3
18473000.0,3
11875500.0,3
1430000000.0,3
7500000.0,3
100000000.0,3
60697000.0,3
50141000.0,3
55419000.0,3
153941666.66666666,3
104000000.0,3
71253000.0,2
33333333.33333333,2
197925000.0,2
41600000.0,2
158340000.0,2
23400000.0,2
29029000.0,2
19792500.0,2
156000000.0,2
2500000.0,2
76531000.0,2
2916666.6666666665,2
105000000.0,2
4500000.0,2
38000000.0,2
1500000.0,2
500000000000.0,2
63336000.0,2
68614000.0,2
44000000.0,1
7300000.0,1
42000000.0,1
3500000.0,1
36000000.0,1
175933333.33333334,1
87966666.66666667,1
41960100.0,1
79650000.0,1
4083333.3333333335,1
28500000.0,1
20800000.0,1
44200000.0,1
6900000.0,1
120000000.0,1
48000000.0,1
19000000.0,1
5700000.0,1
15600000.0,1
46000000.0,1
500000.0,1
32500000.0,1
8500000.0,1
186929166.66666663,1
1187550.0,1
2000.0,1
70800000.0,1
1847300.0,1
475020.0,1
97350000.0,1
1451450.0,1
87500000.0,1
35700000.0,1
19000800.0,1
25387180.0,1
2.5,1
22431500.0,1
25070500.0,1
738920.0,1
527800.0,1
46631130.0,1
96059600.0,1
263900000.0,1
395850.0,1
87087000.0,1
92365.0,1
30.0,1
145145000.0,1
3000.0,1
20.0,1
60.0,1
52780.0,1
1847300000.0,1
100282000.0,1
30348500.0,1
39585.0,1
750.0,1
35626500.0,1
65948610.0,1
182000000.0,1
47000000.0,1
90000000.0,1
72800000.0,1
54600000.0,1
218000000.0,1
33800000.0,1
18200000.0,1
