job_id,title,job_field,company,salary_max,salary_min,salary_negotiable,location_city,deadline,skills,industry,experience_min,experience_max,job_level,source
TCV1102,Fullstack Developer,developer,Công ty TNHH Lisod Việt Nam,40000000,40000000,0,Hà Nội,30/09/2025,"['HTML', 'Javascript', 'Laravel', 'PHP', 'SQL', 'React.js', 'Vue.js']","['Chuyên môn Fullstack Developer', 'IT - Phần mềm', 'Nghỉ thứ 7']",4,4.0,Mid,TopCV
TCV1103,Game Tester,developer,Công Ty TNHH Giải Pháp Đào Tạo Chất Lượng,25000000,25000000,0,Hồ Chí Minh,20/09/2025,"['Kiểm thử phần mềm', 'Phân Tích Lỗi', 'Báo Cáo Lỗi', 'Kỹ Năng Chơi Game Tốt', 'Chú Ý Đến Chi Tiết', 'Kinh Nghiệm Chơi Nhiều Thể Loại Game Khác Nhau', 'Khả Năng Viết Test Case', 'Sử Dụng Các Hệ Thống Quản Lý Lỗi (ví Dụ: Jira)']","['Chuyên môn Game Tester', 'IT - Phần mềm', 'Game']",2,2.0,Junior,TopCV
TCV1104,Thiết kế đồ họa (Graphic Design),design,CÔNG TY TNHH DIWE,0,0,1,Hà Nội,30/09/2025,"['Illustrator', 'Photoshop', 'AI', 'Thiết kế đồ họa']","['Chuyên môn Thiết kế đồ họa (Graphic Design)', 'Marketing / Quảng cáo', 'Tuổi 22 - 26']",0,0.0,Intern,TopCV
TCV1105,Thiết kế đồ họa (Graphic Design),design,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ TRÀNG AN,0,0,1,Ninh Bình,20/09/2025,,['Chuyên môn Thiết kế đồ họa (Graphic Design)'],0,1.0,Intern,TopCV
TCV1106,AI Engineer,developer,Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),0,0,1,Hà Nội,05/09/2025,"['Python', 'AI', 'NLP', 'Computer Vision', 'Machine Learning', 'Data Science', 'LLM', 'Natural Language Processing', 'Deep learning', 'GenAI', 'Tensorflow/Pytorch', 'Computer Vision Nlp Reinforcement Learning (tùy Thuộc Vào Chuyên Môn)', 'Cloud Computing (aws, Gcp, Azure)', 'Text-to-speech', 'Speech-to-text', 'Voice-to-text']","['Chuyên môn AI Engineer', 'IT - Phần cứng và máy tính', 'IT - Phần mềm', 'Điện toán đám mây (Cloud)']",4,4.0,Mid,TopCV
TCV1107,Illustration,design,CÔNG TY CỔ PHẦN TẬP ĐOÀN ANH SƠN,12000000,6000000,0,Hà Nội,04/09/2025,"['Sử Dụng Thành Thạo Phần Mềm Thiết Kế 2d (autocad, Adobe Illustrator, Coreldraw,...)', 'Kỹ Năng Vẽ Kỹ Thuật', 'Hiểu Biết Về Các Nguyên Tắc Thiết Kế (bố Cục, Màu Sắc, Typography,...)', 'Khả Năng Đọc Và Hiểu Bản Vẽ Kỹ Thuật', 'Tư duy sáng tạo']","['Chuyên môn Illustration', 'Thiết kế / Kiến trúc', 'Tuổi 23 - 30']",2,2.0,Junior,TopCV
TCV1108,Backend Developer,developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ TRINITY,40000000,40000000,0,Hà Nội,03/09/2025,"['Java', 'Microservices', 'Docker', 'Kubernetes', 'CI/CD', 'Microservices Architecture', 'Cloud Computing (aws, Azure, Gcp)', 'Message Queues (kafka, Rabbitmq)']","['Chuyên môn Backend Developer', 'IT - Phần mềm', 'Nghỉ thứ 7']",3,3.0,Junior,TopCV
TCV1109,Software Engineer,developer,CÔNG TY CỔ PHẦN FIVE-STAR E-LEARNING,30000000,20000000,0,Hà Nội,13/09/2025,,"['Chuyên môn Software Engineer', 'IT - Phần mềm', 'Nghỉ thứ 7']",3,3.0,Junior,TopCV
TCV1110,Thiết kế đồ họa (Graphic Design),design,Công ty cổ phần Canifa,16000000,10000000,0,Hà Nội,05/09/2025,"['Làm việc nhóm', 'Thiết Kế Thời Trang', 'Sáng tạo', 'Hiểu Biết Về Xu Hướng Thời Trang', 'Kiến Thức Về Chất Liệu Vải', 'Sử Dụng Phần Mềm Thiết Kế (adobe Photoshop, Illustrator, Indesign)', 'Vẽ Tay Vẽ Kỹ Thuật']","['Chuyên môn Thiết kế đồ họa (Graphic Design)', 'Bán lẻ - Hàng tiêu dùng - FMCG', 'May mặc / Thời trang', 'Thiết kế / Kiến trúc', 'Tuổi 22 - 30']",1,1.0,Junior,TopCV
TCV1111,Chuyên viên Cyber Security,security,CÔNG TY TNHH FLYSEC,0,0,1,Hồ Chí Minh,29/08/2025,"['Network Security', 'Vulnerability Assessment', 'Penetration Testing', 'Web Application Security', 'Reverse Engineering']","['Chuyên môn Chuyên viên Cyber Security', 'An ninh mạng', 'Nghỉ thứ 7', 'Tiếng Anh Đọc hiểu']",0,0.0,Mid,TopCV
