Gia_tri,So_luong
Developer,1343
Other,679
Design,578
Unspecified,304
Sales,283
Tester,279
Data,273
PM/BA,252
AI/ML,211
Infrastructure,156
DevOps,134
Security,112
Support,56
Business,31
Mobile,14
Frontend,11
Fullstack,11
Software,10
Backend,8
Architecture,6
Education,5
Cloud,3
