job_id,job_url,source,title,title_clean,job_level_from_title,job_role,job_level,job_level_source,job_field,job_field_source,company,company_norm,locations,location_primary,location,work_type,work_type_detail,salary,salary_min,salary_max,salary_currency,salary_period,salary_min_vnd,salary_max_vnd,salary_is_negotiable,fx_rate_used,posted_datetime,posted_date,industry_list,industry,industry_source,job_domain,skills,skills_count
vnw_00101,https://www.vietnamworks.com/it-operations-dba-cloud-appops-life-insurance-project-1942809-jv?searchType=2&sortBy=date,vnw,"IT Operations - DBA, Cloud, Appops (Life Insurance Project)","IT Operations - DBA, Cloud, Appops (Life Insurance Project)",Unspecified,DevOps,Lead,experience,DevOps,source_field,Techcombank,techcombank,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-06 00:00:00,2025-08-06,"[""Banking"", ""Insurance"", ""IT Services / Software""]",Banking,industry/title/skills/company,"[""Insurance"", ""Banking""]","[""Application Support"", ""It Infrastructure Management"", ""Problem Solving"", ""Risk Management"", ""Sql Tunning""]",5
vnw_00102,https://www.vietnamworks.com/cyber-security-feature-test-hybrid-working-salary-up-to-2-500-relocation-bonus--1944719-jv?searchType=2&sortBy=date,vnw,"Cyber Security Feature Test (Hybrid Working + Salary Up to $2,500 + Relocation Bonus)",Security Engineer,Unspecified,Security,Mid,experience,Security,title,LG Electronics Development Vietnam Company Limited,lgelectronicsdevelopmentvietnamcompanylimited,"[""Unspecified""]",Unspecified,Unspecified,Hybrid,,"$ 800-2,500 /tháng",800.0,2500.0,USD,month,21112000.0,65975000.0,False,FX:USD=26390,2025-08-11 00:00:00,2025-08-11,"[""Semiconductor / Electronics"", ""IT Services / Software""]",Semiconductor / Electronics,industry/title/skills/company,[],"[""Cyber Security Analysis"", ""Firewall"", ""C"", ""C++"", ""Oop"", ""Sdlc Security""]",6
vnw_00103,https://www.vietnamworks.com/cobol-developer-12-1-1-1-1-1--1931397-jv?searchType=2&sortBy=date,vnw,Cobol Developer,Software Engineer / Developer,Unspecified,Developer,Mid,experience,Developer,title,Capgemini Vietnam,capgeminivietnam,"[""TP. Hồ Chí Minh""]",TP. Hồ Chí Minh,TP. Hồ Chí Minh,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-12 00:00:00,2025-08-12,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""Cobol"", ""Software Development"", ""Software Testing"", ""Prototype"", ""English""]",5
vnw_00104,https://www.vietnamworks.com/manual-tester-from-1-year-s-english-automotive-domain-1947948-jv?searchType=2&sortBy=date,vnw,"Manual Tester (From 1 Year(s), English, Automotive Domain)",QA Engineer / Tester,Unspecified,Tester,Mid,experience,Tester,source_field,LG Electronics Development Vietnam Company Limited,lgelectronicsdevelopmentvietnamcompanylimited,"[""Hà Nội"", ""TP. Hồ Chí Minh""]",Hà Nội,Hà Nội | TP. Hồ Chí Minh,Unspecified,,"$ 700-1,500 /tháng",700.0,1500.0,USD,month,18473000.0,39585000.0,False,FX:USD=26390,2025-08-19 00:00:00,2025-08-19,"[""Automotive"", ""Semiconductor / Electronics"", ""IT Services / Software""]",Automotive,industry/title/skills/company,"[""Automotive""]","[""Defect Tracking"", ""Software Testing"", ""Teamwork"", ""Test Case Design""]",4
vnw_00105,https://www.vietnamworks.com/senior-business-analyst-storefront-and-ads-management-up-to-30-months-of-annually-package-1952509-jv?searchType=2&sortBy=date,vnw,"Senior Business Analyst, Storefront & Ads Management (Up to 30 Months of Annually Package)",PM/BA,Senior,Data,Lead,experience,PM/BA,title,Crossian Việt Nam,crossianvitnam,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-29 00:00:00,2025-08-29,[],IT Services / Software,fallback,"[""E-commerce""]","[""Data Science"", ""Python"", ""SQL"", ""Data Visualization"", ""Statistical Modeling""]",5
vnw_00106,https://www.vietnamworks.com/junior-scrum-master-1952504-jv?searchType=2&sortBy=date,vnw,Junior Scrum Master,PM/BA,Junior,PM/BA,Mid,experience,PM/BA,title,Crossian Việt Nam,crossianvitnam,"[""Hà Nội"", ""TP. Hồ Chí Minh""]",Hà Nội,Hà Nội | TP. Hồ Chí Minh,Unspecified,,"Tới $ 55,000 /năm",,55000.0,USD,year,,120954166.66666667,False,FX:USD=26390,2025-08-29 00:00:00,2025-08-29,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""Agile"", ""Jira"", ""Scrum"", ""Sdlc"", ""Software Engineering""]",5
vnw_00107,https://www.vietnamworks.com/chuyen-vien-phat-trien-phan-mem-r-it2508-1939805-jv?searchType=2&sortBy=date,vnw,Chuyên Viên Phát Triển Phần Mềm (R_IT2508),Chuyên Viên Phát Triển Phần Mềm (R_IT2508),Middle,Others,Mid,experience,Unspecified,unspecified,Công Ty Ô Tô Toyota Việt Nam,cngtyttoyotavitnam,"[""Bình Dương"", ""Hà Nội""]",Bình Dương,Bình Dương | Hà Nội,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-29 00:00:00,2025-08-29,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""Ios Development"", ""Web Api Restful"", "".NET"", ""Software Development"", ""English""]",5
vnw_00108,https://www.vietnamworks.com/senior-quality-engineer-up-to-30-months-of-salary-annually--1946654-jv?searchType=2&sortBy=date,vnw,Senior Quality Engineer (Up to 30 Months of Salary Annually),Senior Quality Engineer (Up to 30 Months of Salary Annually),Senior,Developer,Mid,experience,Tester,source_field,Crossian Việt Nam,crossianvitnam,"[""Hà Nội"", ""TP. Hồ Chí Minh""]",Hà Nội,Hà Nội | TP. Hồ Chí Minh,Unspecified,,Thương lượng,,,VND,Unspecified,,,True,FX:VND=1.0,2025-08-15 00:00:00,2025-08-15,"[""IT Services / Software""]",IT Services / Software,industry/title/skills/company,[],"[""Automation Testing"", ""Quality Engineer"", ""Agile Methodologies"", ""Quality Assurance"", ""Software Testing""]",5
vnw_00109,https://www.vietnamworks.com/business-analyst-team-leader-iot-smart-home-1944131-jv?searchType=2&sortBy=date,vnw,Business Analyst Team Leader (Iot/smart Home),PM/BA,Manager,Data,Mid,experience,PM/BA,title,FPT Telecom,fpttelecom,"[""TP. Hồ Chí Minh""]",TP. Hồ Chí Minh,TP. Hồ Chí Minh,Unspecified,,"$ 1,000-2,000 /tháng",1000.0,2000.0,USD,month,26390000.0,52780000.0,False,FX:USD=26390,2025-08-08 00:00:00,2025-08-08,"[""Telecommunications"", ""IT Services / Software""]",Telecommunications,industry/title/skills/company,"[""Smart Home/IoT""]","[""It Business Analyst"", ""Leadership Experience""]",2
vnw_00110,https://www.vietnamworks.com/data-engineer-expert-1948397-jv?searchType=2&sortBy=date,vnw,Data Engineer (Expert),Data Engineer/Scientist/Analyst,Senior,Data,Lead,experience,AI/ML,source_field,FPT Telecom,fpttelecom,"[""Hà Nội""]",Hà Nội,Hà Nội,Unspecified,,"$ 2,500-4,500 /tháng",2500.0,4500.0,USD,month,65975000.0,118755000.0,False,FX:USD=26390,2025-08-20 00:00:00,2025-08-20,"[""Telecommunications""]",Telecommunications,industry/title/skills/company,[],"[""Ai"", ""PyTorch"", ""TensorFlow"", ""Data Management"", ""Big Data""]",5
