Gia_tri,So_luong
"['marketing / quảng cáo', 'thiết kế / kiến trúc', 'nhà hàng / khách sạn']",2
"['online sales', 'direct sales', 'b2b', 'có hỗ trợ data']",2
"['direct sales', 'b2b', 'it - phần mềm', 'thương mại điện tử', 'tài chính', 'tuổi 22 - 25']",2
"['bán lẻ - hàng tiêu dùng - fmcg', 'thực phẩm / đồ uống']",2
"['direct sales', 'online sales', 'telesales', 'b2c', 'b2b', 'thương mại điện tử', 'thực phẩm / đồ uống', 'nhà hàng / khách sạn']",2
"['it - phần cứng và máy tính', 'it - phần mềm', 'điện toán đám mây (cloud)', 'tiếng anh giao tiếp thành thạo']",2
"['b2b', 'it - phần mềm', 'có hỗ trợ data', 'tuổi 20 - 30']",2
"['it - phần mềm', 'kế toán', 'ngân hàng']",2
"['b2b', 'có hỗ trợ data']",2
"['it - phần cứng và máy tính', 'it - phần mềm', 'tiếng trung giao tiếp thành thạo']",2
"['telesales', 'b2c', 'có hỗ trợ data', 'diễn đạt trôi chảy', 'phát âm chuẩn', 'tuổi 22 - 28']",2
"['game', 'it - phần mềm']",2
"['b2b', 'b2c', 'thương mại điện tử', 'game', 'it - phần mềm', 'có hỗ trợ data', 'tuổi 18 - 35']",2
"['thiết kế / kiến trúc', 'xây dựng', 'marketing / quảng cáo']",2
"['telesales', 'b2b', 'it - phần mềm', 'marketing / quảng cáo', 'xuất nhập khẩu / hải quan', 'có hỗ trợ data', 'giọng miền bắc', 'diễn đạt trôi chảy', 'tuổi 18 - 35']",2
"['thiết kế / kiến trúc', 'tuổi 25 - 28']",2
"['telesales', 'b2b', 'có hỗ trợ data', 'giọng miền nam', 'giọng miền bắc', 'diễn đạt trôi chảy']",2
"['direct sales', 'online sales', 'b2b', 'b2c', 'bán lẻ - hàng tiêu dùng - fmcg', 'có hỗ trợ data', 'tiếng nhật jlpt n2']",2
"['thương mại điện tử', 'tuổi 20 - 28']",2
"['direct sales', 'online sales', 'telesales', 'b2b', 'b2c', 'nhà hàng / khách sạn']",2
"['b2c', 'b2b', 'it - phần mềm', 'công nghệ kỹ thuật']",2
"['thương mại điện tử', 'in ấn / xuất bản', 'thiết kế / kiến trúc']",2
"['b2b', 'it - phần mềm', 'tuổi 22 - 35']",2
