title,company,location,salary,deadline,description,requirements,benefits,url,posted_date,industry,job_field,min_experience,education_level,age_requirement,headcount,job_level,skills,language,nationality,gender,marital_status,work_type
Senior Business Development Manager,One Mount,"Hồ Chí Minh, Hà Nội",Thương lượng,2025-08-30,"Mô tả công việc Job Summary We are seeking a well-rounded and driven Business Development Manager to support both daily business operations and longer-term strategic initiatives. This role sits at the intersection of planning, execution, and cross-functional collaboration—helping turn business ideas into action through structured coordination, partner engagement, and data-backed decision-making. You will work closely with senior stakeholders to ensure that both growth projects and core business processes are delivered with impact, speed, and alignment. Responsibilities 1. Strategic Planning - Support the Business Development Manager/Director in analyzing market trends, business performance, and growth opportunities from both external and internal VinShop. - Participate in building business cases, feasibility studies, and commercial proposals for new initiatives/projects. - Assist in tracking key business metrics (e.g. revenue, GMV, user behavior, adoption rate) and turning insights into action plans. - Contribute to the preparation of strategic reports, presentations, and leadership documents.",,Các phúc lợi dành cho bạn Chăm sóc sức khoẻ Premium Healthcare Program Máy tính xách tay Annual leave: 15 days/year and Other leaves/public holidays Hoạt động nhóm Providing customized training courses according to business needs and upon your request,https://www.vietnamworks.com/senior-business-development-manager-1940606-jv?source=searchResults&searchType=2&placement=1940606&sortBy=date,31/07/2025,Hàng tiêu dùng,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,2,Cử nhân,Không hiển thị,Không hiển thị,Trưởng phòng,"Business Development, Strategic Planning, Project Coordination, FMCG, Partnership Development",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,Toàn thời gian
Sales Accountant (For A 6 month Temporary Period),"UPL Viet Nam Co., Ltd",Hồ Chí Minh,Thương lượng,2025-09-20,"Mô tả công việc JOB SUMMARY: • This position is sales-supporting oriented. • Need to communicate and interact with our ASMs (Area Sales Managers) and Sales Representative daily to provide clarity on information such as customer balance statements, sales results, promotion scheme eligibility, E-invoices, claims, and discounts, etc. as well as to ensure all necessary documents are retained properly and recorded on a timely basis. JOB RESPONSIBILITIES: 1. Sales Function: • Prepare discount agreements, customer statements and overdue/falling due reports, and collection reports on weekly/monthly or add-hoc request basis. • Timely communication with ASMs to clear confusion regarding discounts/schemes and get the work done properly. • Prepare monthly sales report comparing to budget/sales target; actual collection vs monthly target. Coordinate with SCM for delivery/invoices and inform ASMs and management timely. • Willing to travel to the customers/ or call customers directly to understand and sort out conflicts/or confusion regarding collections, accounting documents, or invoicing issues.",Yêu cầu công việc,Các phúc lợi dành cho bạn Thưởng Attractive Incentives based on Monthly performance Chăm sóc sức khoẻ Insurance and other benefits in accordance Vietnamese labor code Khác Dynamic working environment,https://www.vietnamworks.com/sales-accountant-for-a-6-month-temporary-period-1949082-jv?source=searchResults&searchType=2&placement=1949082&sortBy=date,21/08/2025,Nông nghiệp/Lâm nghiệp/Nuôi trồng thủy sản,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,3,Cử nhân,Không hiển thị,Không hiển thị,Nhân viên,"Kinh Doanh, Bán hàng, Tư Vấn, Sales, Phát Triển Kinh Doanh",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,Toàn thời gian
[HN] Nhân Viên Kinh Doanh - Telesales B2B,Navigos Group,Hà Nội,Từ $ 400 /tháng,2025-09-10,"Mô tả công việc Chào mừng bạn đến với Vietnamworks.com - nền tảng tuyển dụng trực tuyến hàng đầu và lâu đời nhất tại Việt Nam. Tại đây, chúng tôi tin rằng một sự nghiệp bền vững bắt đầu từ môi trường làm việc hạnh phúc: • Nơi ý kiến của bạn được trân trọng và thực sự tạo ra thay đổi • Nơi công nghệ hiện đại là công cụ giúp bạn làm việc thông minh và hiệu quả hơn • Nơi mà sự minh bạch và phát triển cá nhân là những giá trị cốt lõi • Và quan trọng, nơi bạn có thể giữ cân bằng giữa công việc và cuộc sống riêng – vì bạn xứng đáng Là một chuyên viên tư vấn của Vietnamworks bạn sẽ: • Thực hiện các cuộc gọi chủ động đến các khách hàng doanh nghiệp, lắng nghe nhu cầu tuyển dụng của họ và đưa ra các giải pháp phù hợp • Phát triển doanh số dựa trên tệp khách hàng tiềm năng do công ty cung cấp. • Đảm bảo chỉ tiêu về số lượng, chất lượng cuộc gọi và đơn hàng theo từng giai đoạn (ngày, tuần, quý, năm). • Hỗ trợ nhóm hoàn thành mục tiêu chung.",Yêu cầu công việc,"Các phúc lợi dành cho bạn Chăm sóc sức khoẻ Gói bảo hiểm sức khoẻ Bảo Việt cao cấp tương đương 40 triệu VNĐ/năm Nghỉ phép có lương Làm việc từ Thứ Hai – Thứ Sáu, số ngày phép có lương lên đến 27 ngày/năm Cơ hội du lịch Team Outing Trip, Company Trip trong và ngoài nước",https://www.vietnamworks.com/hn-nhan-vien-kinh-doanh-telesales-b2b--1944629-jv?source=searchResults&searchType=2&placement=1944629&sortBy=date,11/08/2025,Cung cấp nhân lực,Kinh Doanh > Bán Hàng Qua Điện Thoại,1,Cao đẳng,Không hiển thị,Không hiển thị,Mới Tốt Nghiệp,"B2B Sales, Bán hàng, Tư Vấn, B2C Sales, Telesales",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,Toàn thời gian
Chuyên Viên Kinh Doanh Tại VietnamWorks,Navigos Group,Hà Nội,$ 400-500 /tháng,2025-09-10,"Mô tả công việc Bạn đang tìm kiếm một công việc mang lại thu nhập xứng đáng, nhưng quan trọng hơn – Bạn cần được phát triển và tạo nên những giá trị thật sự. Ở Vietnamworks chúng tôi tự hào về nền tảng đào tạo bài bản, thực chiến và cập nhật liên tục – điều mà rất nhiều người sau này nhìn lại đều công nhận là bước đệm quý giá cho sự nghiệp lâu dài của họ. Không chỉ vậy, ở Vietnamworks các phúc lợi khác bạn sẽ còn nhận được: • Số ngày phép (được tính lương): 27 ngày/năm • Chính sách thưởng doanh số không giới hạn • Đóng BHXH, BHYT, BHTN trên 100% lương thực tế • Gói bảo hiểm sức khoẻ cao cấp tương đương 40 triệu VNĐ/năm • Khám sức khỏe định kỳ 2 lần/năm • Chương trình Mentor - Mentee: được hỗ trợ và đồng hành trong việc làm quen với môi trường mới, nắm bắt các kiến thức, kỹ năng nhanh chóng và tham gia các chương trình đào tạo chuyên sâu như Power Negotiation, Master Your Mind (Growth Mindset), Master Your Communication, Master Your Time, Creative Problem Solving, v.v. Vai trò của một chuyên viên tư vấn tại Vietnamworks: * Tư vấn & hỗ trợ khách hàng doanh nghiệp qua điện thoại: Tìm hiểu nhu cầu, đưa ra giải pháp phù hợp, giúp họ tuyển đúng người nhanh và hiệu quả",,"Các phúc lợi dành cho bạn Thưởng Attractive salary package Chăm sóc sức khoẻ Premium Health Care Package of Bao Viet Insurance, Annual Health Checkup Khác Active and dynamic working environment",https://www.vietnamworks.com/chuyen-vien-kinh-doanh-tai-vietnamworks-1944632-jv?source=searchResults&searchType=2&placement=1944632&sortBy=date,11/08/2025,Cung cấp nhân lực,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,1,Cao đẳng,21-29,Không hiển thị,Mới Tốt Nghiệp,"Analytical, Interpersonal Skills, Negotiation, Problem-solving, Teamwork",Bất kỳ,Không giới hạn,Bất kỳ,Bất kỳ,Toàn thời gian
Chuyên Viên Phát Triển Thị Trường (Lương Từ 13 - 20 Triệu + Trợ Cấp + Hoa Hồng),Chicilon Media,Hồ Chí Minh,13tr-20tr ₫/tháng,2025-08-29,"Mô tả công việc • Phụ trách làm việc với các đối tác toà nhà chung cư, văn phòng, siêu thị… để ký kết hợp đồng khai thác lắp đặt màn hình quảng cáo. • Chăm sóc, duy trì mối quan hệ hợp tác với khách hàng. • Phối hợp với các bộ phận liên quan giải quyết các vấn đề phát sinh nếu có. • Làm việc theo kế hoạch được phân công.","Yêu cầu công việc • Tốt nghiệp Đại học trở lên tuổi từ 27 - 32. • Có ít nhất 3 năm kinh nghiệm trở lên làm việc ở các vị trí nhân viên kinh doanh, phát triển thị trường,.... • Ưu tiên các bạn có kinh nghiệm làm việc hoặc có hiểu biết và mối quan hệ tốt với chủ đầu tư các dự án bất động sản.",Các phúc lợi dành cho bạn Thưởng Lương cơ bản: 12 – 20 triệu VNĐ + Hoa hồng + Thưởng cuối năm 1-6 tháng lương Nghỉ phép có lương Được hưởng các chế độ nghỉ lễ tết theo quy định nhà nước Đào tạo Đào tạo kĩ năng mềm và kĩ năng chuyên môn Hoạt động nhóm Team building hàng năm Khác Hỗ trợ tiền cơm trưa Hỗ trợ gửi xe,https://www.vietnamworks.com/chuyen-vien-phat-trien-thi-truong-luong-tu-13-20-trieu-tro-cap-hoa-hong--1940066-jv?source=searchResults&searchType=2&placement=1940066&sortBy=date,30/07/2025,Truyền thông/Báo chí/Quảng cáo,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,3,Cử nhân,Không hiển thị,Không hiển thị,Nhân viên,"Phân Tích Thị Trường, Tiếp thị, Triển Khai Quảng Bá, Giao Tiếp, Giải quyết vấn đề",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,Toàn thời gian
Business Development Executive,Công Ty Cổ Phần BM Windows,"Hà Nội, Hồ Chí Minh","$ 600-1,000 /tháng",2025-09-15,"Mô tả công việc - Lập và triển khai kế hoạch doanh số cá nhân theo tháng, quý, năm, gắn với mục tiêu tăng trưởng chung của Khối Kinh doanh. - Chủ động tìm kiếm khách hàng và dự án, xây dựng tệp khách hàng tiềm năng thông qua hệ thống đối tác và các kênh thông tin uy tín. - Phát triển mối quan hệ khách hàng trong suốt quá trình đấu thầu; tham vấn cùng cấp Quản lý về chiến lược đấu thầu cho từng dự án. - Làm đầu mối phối hợp để chuẩn bị hồ sơ thầu, đảm bảo chất lượng, đúng yêu cầu và tiến độ. - Lập kế hoạch công tác trong nước hoặc nước ngoài để khảo sát thực tế, đánh giá tiềm năng dự án và năng lực đối tác. - Duy trì & chăm sóc khách hàng, nâng cao trải nghiệm khách hàng định kỳ. - Báo cáo công việc được giao theo phân công của Quản lý. - Phụ trách một trong các thị trường theo phân công: • Thị trường B2B Quốc tế (Bắc Mỹ, Úc,...) • Thị trường B2B Trong nước • Thị trường cao cấp B2C",Yêu cầu công việc,"Các phúc lợi dành cho bạn Thưởng Thu nhập bình quân từ 18 tháng lương/ năm, thu nhập cạnh tranh theo năng lực Chăm sóc sức khoẻ Bảo hiểm chăm sóc sức khỏe đặc biệt (Bảo Việt), Khám sức khỏe chuyên sâu định kỳ hằng năm Hoạt động nhóm Các chương trình đào tạo theo lộ trình phát triển cá nhân, đa dạng hoạt động gắn kết nội bộ",https://www.vietnamworks.com/business-development-executive--1947212-jv?source=searchResults&searchType=2&placement=1947212&sortBy=date,16/08/2025,Kỹ thuật xây dựng/Cơ sở hạ tầng,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Không yêu cầu,Cử nhân,Không hiển thị,Không hiển thị,Nhân viên,"Business Development, International Sales & Marketing, communication, Customer Service, Research",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,Toàn thời gian
Sales Development Leader,Công Ty TNHH Khí Công Nghiệp Messer Việt Nam,Hà Nội,$ 720-960 /tháng,2025-09-13,"Mô tả công việc 1. Specialty Gases development (65%) - Researching, negotiation and signing of new signatures indeveloping current and potential customer bases for Specialty Gases - Managing and directly developing some main Key Account customers (using mainly Specialty Gases) base in Viet Nam or in some special export countries, areas (If any). - Suppoting all Sales team members in Viet Nam for their current and future needs of Spacialty Gases by providing expertise for product & services information, pricing information or by studying or organizing the sourcing... to help them to develop SG Sales within their area of work 2. Manage of the demand (10%) - Prepare regular sales forecast with customer and Sales team to ensure regular supply to customers (Sales team in support for the customer not managed by Specialty Gases Division) - Prepare and update on a regularly basis the customer rolling forecast demand of specialty gases products which needs to be imported and special packing demand forecast 3. Management of Specialty Gases stock in Messer (15%) - Updated inventory of product stock at the plant. Prioritize filling plan regarding customer demand - Prepare regular update on packing stock and turnover ratios. Managing and roating each kind of product, cylinder,... for optimize stock in Northern - Central - Southern - Ordering all specialty gases product of Messer",,Các phúc lợi dành cho bạn Thưởng Thưởng KPI theo năm lên tới 7 tháng lương (đã bao gồm lương tháng 13) Chăm sóc sức khoẻ Bảo hiểm sức khỏe cho nhân viên Đào tạo Thu nhập hẫn dẫn - thỏa thuận theo năng lực,https://www.vietnamworks.com/sales-development-leader--1946527-jv?source=searchResults&searchType=2&placement=1946527&sortBy=date,14/08/2025,Sản xuất,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,3,Cử nhân,Không hiển thị,Không hiển thị,Nhân viên,"Tiếng Anh thành thạo, Phát Triển Kinh Doanh, Bán Hàng Kỹ Thuật, Bán hàng, Trưởng nhóm",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,Toàn thời gian
Nhân Viên Kĩ Thuật,Công Ty TNHH Cọc Ống Kiến Hoa - Đất Việt,,10tr-20tr ₫/tháng,2025-08-30,"Mô tả công việc -Làm việc tại phòng LAB của công ty. - Kiểm tra chất lượng vật liệu đầu vào: cát, đá, xi măng, phụ gia, thép… - Kiểm soát quá trình sản xuất cọc ly tâm: quá trình trộn, công nghệ trộn, hệ thống định lượng vật liệu trên trạm trộn, ly tâm, căng kéo, dưỡng hộ, lồng thép.v.v. - Kiểm soát thành phần cấp phối bê tông bê tông, trên trạm trộn - Làm các hồ sơ cho các công trình, dự án: hồ sơ vật liệu đầu vào, hồ sơ chất lượng sp.. - Quản lý mẫu bê tông, đúc mẫu bê tông, đi thí nghiệm và trả kết quả bê tông theo sự phân công của cán bộ quản lý.","Yêu cầu công việc • Nam, Tốt nghiệp cao đẳng trở lên. • Nhanh nhẹn cẩn thận trong công việc. • Ưu tiên ứng viên đã có kinh nghiệm kiểm tra nguyên vật liệu đầu vào. • Sử dụng thành thạo tin học văn phòng *** QUYỀN LỢI ĐƯỢC HƯỞNG - Lương từ 10-20 triệu/tháng ( thỏa thuận) , phụ cấp tiền ăn , phụ cấp thâm niên… - Thời gian thử việc: 1-2 tháng","Các phúc lợi dành cho bạn Thưởng Lương từ 10-20 triệu/tháng ( thỏa thuận) , phụ cấp tiền ăn , phụ cấp thâm niên… Có cơ hội thăng tiến trong công việc Chăm sóc sức khoẻ Được hưởng các quyền lợi theo Luật Lao Động Việt Nam: BHXH, BHYT,BHTN… Hoạt động nhóm Được tham gia các hoạt động xây dựng đội nhóm, chương trình team-building, du lịch hàng năm. Chế độ phúc lợi theo quy định của công ty (có kí túc xá cho cán bộ nhân viên ở xa)",https://www.vietnamworks.com/nhan-vien-ki-thuat--1941100-jv?utm_campaign_navi=3237573&utm_medium_navi=FocusOn&utm_source_navi=SearchResults&utm_term_navi=new-homepage,31/07/2025,Kỹ thuật xây dựng/Cơ sở hạ tầng,Kiến Trúc/Xây Dựng > Xây Dựng,Không yêu cầu,Không giới hạn,Không hiển thị,3,Nhân viên,"Xây Dựng, Kiểm Tra Chất Lượng, Vật liệu xây dựng, Kiểm Tra Chất Lượng Vật Liệu, Hồ Sơ Dự Án",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,Toàn thời gian
Chuyên Viên Kinh Doanh Quốc Tế,Tổng Công Ty Chuyển Phát Nhanh Bưu Điện - Công Ty Cổ Phần,Hà Nội,Thương lượng,2025-08-29,"Mô tả công việc - Tìm kiếm và khai thác khách hàng mới, chào bán dịch vụ Vận chuyển quốc tế và logistics (đường bộ, đường biển, đường hàng không...) của công ty để mở rộng hệ thống khách hàng. - Tìm kiếm, tiếp cận, xây dựng mối quan hệ và làm việc việc với các đối tác tiềm năng trong và ngoài nước giới thiệu dịch vụ phù hợp và xúc tiến xâm nhập các thị trường mục tiêu nước ngoài. - Xây dựng quy trình, gói dịch vụ, giải pháp tổng thể dịch vụ dành cho Khách hàng. Tham gia dự thầu, thương thảo, dự thảo và hỗ trợ ký kết hợp đồng với Khách hàng. - Quản lý, theo dõi, tập hợp, đánh giá tình hình biến động doanh thu của từng khách hàng; có phương án phối hợp với các đơn vị chăm sóc và giải quyết kịp thời các vướng mắc về dịch vụ. - Các công việc liên quan khác theo sự phân công của Ban lãnh đạo.","Yêu cầu công việc Tiêu chuẩn tuyển dụng: 1. Trình độ: - Tốt nghiệp Đại học (Chính quy) trở lên các chuyên ngành: Quản trị Kinh doanh, Kinh tế, ngoại thương, Ngoại ngữ (Tiếng Anh/Tiếng Trung Quốc)..,ưu tiên ứng viên là du học sinh.","Các phúc lợi dành cho bạn Đào tạo Cơ hội huấn luyện: Tham dự các khóa đào tạo chuyên môn và kỹ năng do Công ty tổ chức Thư viện Môi trường làm việc thân thiện, cởi mở, nhiều cơ hội phát triển và thăng tiến Hoạt động nhóm Văn hóa Doanh nghiệp đặc sắc, sinh động nhiều các hoạt động hấp dẫn: Teambuilding, sinh nhật công ty",https://www.vietnamworks.com/chuyen-vien-kinh-doanh-quoc-te--1940261-jv?source=searchResults&searchType=2&placement=1940311&sortBy=date,30/07/2025,Hậu cần/Giao nhận,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,Không yêu cầu,Cử nhân,22-35,Không hiển thị,Nhân viên,"Phát Triển Thị Trường, Business Development, Tiếng Trung, Kinh Doanh Quốc Tế, Giao Tiếp",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,Toàn thời gian
Logistics Sales,DA WU SUPPLY CHAIN MANAGEMENT COMPANY LIMITED,"Hải Phòng, Hồ Chí Minh",Thương lượng,2025-09-04,"Mô tả công việc Job Description: 1. Actively prospect and leverage potential new clients; 2. Plan approaches, sales calls and meetings with potential clients taking into consideration specific needs and requirements of the account; 3. Prepare quotation and proposal to prospects; 4. Handle and turn around objections, propose value and foster partnership with clients in the daily work; 5. Cultivate a strong, long-term relationship with key decision-makers within the account; 6. Communicate with our internal operation department, providing precise information regarding client requirements and our solutions; 7. Be aware of competitor activities and adapt tactics to meet market/account demands. 8. Track customer debt 9. Perform other tasks as requested by management ---------------------------------------------------------- Mô tả công việc: 1.Tích cực tìm kiếm các khách hàng mới tiềm năng và tận dụng được nguồn khách hàng cũ; 2. Lập kế hoạch và phương pháp tiếp cận, gọi điện trao đổi và gặp gỡ khách hàng để tìm kiếm đơn vị hợp tác mới cho công ty; 3. Chuẩn bị báo giá và đề xuất cho khách hàng;",,"Các phúc lợi dành cho bạn Thưởng High salary and bonus 13th month salary Chăm sóc sức khoẻ Social insurance, health and unemployment insurance Annual health check Cơ hội du lịch Company travel Hoạt động nhóm Company team building Phiếu giảm giá Company team building, Company travel",https://www.vietnamworks.com/logistics-sales-1942748-jv?source=searchResults&searchType=2&placement=1942798&sortBy=date,05/08/2025,Hậu cần/Giao nhận,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,2,Cử nhân,Không hiển thị,Không hiển thị,Mới Tốt Nghiệp,"Sales Development, Channel Relationship Management, Quotation Preparation, Computer Skills, English Fluency",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,Toàn thời gian
Sales Engineer,Công Ty TNHH Helmut Fischer Việt Nam,Hồ Chí Minh,Thương lượng,2025-08-29,"Mô tả công việc Job description • Preparing and developing technical presentations to explain our company's products and solutions to customers. • Discussing equipment needs and solutions requirements with customers. • Collaborating with internal functional teams to understand customer requirements and provide sales support. • Generating high-quality sales leads, following up after initial contact, securing and renewing orders, negotiating prices, completing sales, and arranging deliveries. • Researching, developing and design solutions to meet customers' technical requirements and needs. • Helping customers who have problems with installed products and recommending improved or upgraded solutions. • Soliciting and logging client feedback and evaluating the data to create new sales and marketing strategies to target customers. • Identifying areas for improvement and communicating these issues as well as possible solutions to upper management. • Executing, achieving and growing sales goals to meet business budget in Electronics/ PCB/ Automotive/ General Plating/ Precious Metal/ Materials Testing & Laboratory and Gold & Jewelry industries. • Responsible for marketing activities and expanding customer relationship.",,Các phúc lợi dành cho bạn Thưởng 13th month salary + Performance bonus / Quarter Chăm sóc sức khoẻ Social insurances + medical insurances based on full salary Bao Viet insurances for employees Nghỉ phép có lương Professional Working Environment,https://www.vietnamworks.com/sales-engineer-1940248-jv?source=searchResults&searchType=2&placement=1940298&sortBy=date,30/07/2025,Bán lẻ/Bán sỉ,Kinh Doanh > Bán Hàng Kỹ Thuật,2,Cử nhân,25-32,Không hiển thị,Nhân viên,"Customer Service, Sales Engineering, Communications",Tiếng Anh,Không hiển thị,Nam,Không hiển thị,Toàn thời gian
Giám Đốc Phát Triển Khách Hàng Cao Cấp (Relationship Director)-Ứng Viên Có Kinh Nghiệm Trong Lĩnh Vực Chứng Khoán và Cho Vay,Công Ty TNHH Chứng Khoán Jb Việt Nam,"Hà Nội, Hồ Chí Minh","Tới $ 3,500 /tháng",2025-08-29,"Mô tả công việc Giám đốc Phát triển Kinh doanh chịu trách nhiệm tăng doanh số và dư nợ cho Bộ phận Môi giới và Công ty bằng cách phát triển tệp khách hàng, phát triển nhân sự, nâng cao chất lượng dịch vụ, đảm bảo tuân thủ và hiệu quả hoạt động của nhóm. Nhiệm vụ: 1. Phát triển khách hàng: Xây dựng kế hoạch, tìm kiếm khách hàng tiềm năng, nghiên cứu thị trường. 2. Tư vấn và giới thiệu: Tìm hiểu thông tin khách hàng, giới thiệu sản phẩm dịch vụ phù hợp (chứng khoán, tài chính, trái phiếu...), đề xuất sản phẩm, dịch vụ, chính sách riêng biệt. 3. Hỗ trợ và điều phối: Điều phối nhân sự hỗ trợ khách hàng mở tài khoản, đăng ký dịch vụ và giao dịch. 4. Chăm sóc khách hàng: Hỗ trợ tư vấn đầu tư, thực hiện chương trình chăm sóc khách hàng, đánh giá và đề xuất điều chỉnh chính sách, duy trì quan hệ với khách hàng. 5. Giải quyết thắc mắc: Tiếp nhận và giải quyết thắc mắc, hỗ trợ khách hàng khi gặp sự cố. 6. Phối hợp và hợp tác: Phối hợp xây dựng chương trình, sản phẩm, chiến lược phát triển khách hàng. 7. Quản lý nhân sự: Quản lý nhân sự, đảm bảo chất lượng dịch vụ, đề xuất tuyển dụng, đào tạo. 8. Nhiệm vụ khác: Thực hiện các nhiệm vụ khác theo yêu cầu.","Yêu cầu công việc - Tốt nghiệp Đại học chính quy trở lên chuyên ngành Kinh tế, Thương mại, Tài chính, Ngân hàng, Chứng khoán.","Các phúc lợi dành cho bạn Đào tạo Được hỗ trợ đào tạo, huấn luyện từ Giám đốc Môi giới và tham gia các chương trình đào tạo khác của JBSV. Khác Được cung cấp các trang thiết bị phục vụ cho công việc và hưởng thu nhập theo cơ chế và chính sách về lương thưởng được ban hành và thay đổi bởi JBSV qua từng thời kỳ.",https://www.vietnamworks.com/giam-doc-phat-trien-khach-hang-cao-cap-relationship-director-ung-vien-co-kinh-nghiem-trong-linh-vuc-chung-khoan-va-cho-vay-1940260-jv?source=searchResults&searchType=2&placement=1940310&sortBy=date,30/07/2025,Chứng khoán,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,5,Không giới hạn,Không hiển thị,Không hiển thị,Giám Đốc và Cấp Cao Hơn,"Phát Triển Khách Hàng, Tư Vấn Đầu Tư, Chăm Sóc Khách Hàng, Kinh Doanh, Sales",Bất kỳ,Không hiển thị,Không hiển thị,Không hiển thị,Toàn thời gian
Sales Force Effectiveness Manager,Dr. Reddy's,Hồ Chí Minh,Thương lượng,2025-09-13,"Mô tả công việc MAIN PURPOSE OF ROLE / Mục tiêu của vị trí - Drive the effectiveness and efficiency of the field force in the assigned territory through key levers, including KPIs, incentive schemes, processes, field force data and dashboards, deployment strategies, and customer targeting. - Work closely with the field force on a daily basis to gather insights, promote the SFE mindset, and build a high-performance culture across the team. MAIN RESPONSIBILITIES / Các trách nhiệm chính 1. Territory Management: - Lead to optimize sales force resource, structure, deployment & territory design in line with GTM model - Identify opportunities/gaps/misalignment in territory management and Field Force deployment 2. Target Setting: - Develop and provide target allocation tool to Field Force - Ensure target allocation in fairness, reasonable at all levels under guidance of Sales Director and Head of Comex 3. Sales Incentive: - Develop incentive scheme, communicate, and execute to Field Force - Calculate sales incentive for all Field Force levels periodically - Analyze effective of current incentive scheme and propose changes if any",,"Các phúc lợi dành cho bạn Thưởng Competitive (to be discussed more in interview) Chăm sóc sức khoẻ Social Insurance, Health Insurance and Unemployment Insurance according Labour Law Khác Professional and dynamic working",https://www.vietnamworks.com/sales-force-effectiveness-manager--1946445-jv?source=searchResults&searchType=2&placement=1946495&sortBy=date,14/08/2025,Dược phẩm,Kinh Doanh > Bán Hàng/Phát Triển Kinh Doanh,3,Cử nhân,Không hiển thị,1,Nhân viên,"Sales, FMCG, business analyst, Nutrition",Tiếng Anh,Không hiển thị,Không hiển thị,Không hiển thị,Toàn thời gian
Adhesive & Tape - Sales Engineer,Công Ty TNHH A-Sung International VINA,Hà Nội,Thương lượng,2025-09-04,"Mô tả công việc Plan and coordinate sales program for maximum sales volume and profitability. Develop new customers and new customer segments. Interact with established customers within a defined geographic region and with the goal of increasing their sales. • Day-to-day coordination of business issues relating to the customer. • Communicate with all internal departments related to fulfilling customer requirements. • Provide communication between customers and production on status of orders. • Keep in close contact with representatives from OEM customers to determine needs in order to expand sales. • Coordinate activities with customer service teams to maximize our ability to close on new business opportunities. • Maintain accurate and up to date records and files on all accounts including sales, data, quote records and customer contacts. • Work with application development engineers to develop customized products for specific customer needs. • Attend sales meetings and conferences. • Manage and evaluate performance of assigned distributor sales personnel and/or channel partners, if necessary. • Develop goals and objectives in accordance with company goals and objectives. • Travel as needed for communication and interaction with customers regarding status of orders, new orders and problem solving.",,Các phúc lợi dành cho bạn Chăm sóc sức khoẻ Having chances to get attractive company bonus every year Giải thưởng Bonus by individual ability and company’s performance Hoạt động nhóm Salary and position is reviewed 1 time a year,https://www.vietnamworks.com/adhesive-tape-sales-engineer--1942544-jv?source=searchResults&searchType=2&placement=1942594&sortBy=date,05/08/2025,Bán lẻ/Bán sỉ,Kinh Doanh > Bán Hàng Kỹ Thuật,2,Cao đẳng,20-35,1,Nhân viên,"Sales Engineering, Adhesive Bonding, Sales Strategy, New Customer Acquisitions, Sales Target",Tiếng Trung Quốc,Không hiển thị,Bất kỳ,Bất kỳ,Toàn thời gian
